30609,"AAXX","small_airport","Rothera Point Airport",-67.5669411575,-68.1269931793,,"AN","AQ","AQ-U-A","Rothera Point","no","AAXX",,,,,
301649,"AGAF","small_airport","Afutara Aerodrome",-9.19138888889,160.948611111,23,"OC","SB","SB-ML","Bila","yes","AGAF","AFT",,,"http://en.wikipedia.org/wiki/Afutara_Airport",
302290,"AGAR","small_airport","Ulawa Airport",-9.86054358262,161.979546547,40,"OC","SB","SB-MK","Arona","no","AGAR","RNA",,,"http://en.wikipedia.org/wiki/Ulawa_Airport",
35172,"AGAT","small_airport","Uru Harbour Airport",-8.87333,161.011002,,"OC","SB","SB-ML","Atoifi","yes","AGAT","ATD",,,"https://en.wikipedia.org/wiki/Uru_Harbour_Airport",
32570,"AGBA","small_airport","Barakoma Airport",-7.912779808044434,156.70599365234375,,"OC","SB","SB-WE","Barakoma","no","AGBA","VEV",,,,
31524,"AGEV","small_airport","Geva Airport",-7.575829982757568,156.5970001220703,,"OC","SB","SB-WE","Liangia","no","AGEV","GEF",,,,
30634,"AGGA","small_airport","Auki Airport",-8.70256996155,160.682006836,5,"OC","SB","SB-ML","Auki","yes","AGGA","AKS",,,"http://en.wikipedia.org/wiki/Auki_Airport",
302047,"AGGB","small_airport","Bellona/Anua Airport",-11.302222222200001,159.798333333,60,"OC","SB","SB-RB","Anua","yes","AGGB","BNY",,,"http://en.wikipedia.org/wiki/Bellona/Anua_Airport",
302291,"AGGC","small_airport","Choiseul Bay Airport",-6.711944,156.396111,,"OC","SB","SB-CH",,"yes","AGGC","CHY",,,"http://en.wikipedia.org/wiki/Choiseul_Bay_Airport",
30678,"AGGE","small_airport","Ballalae Airport",-6.990745,155.886656,5,"OC","SB","SB-WE","Ballalae","yes","AGGE","BAS",,,"http://en.wikipedia.org/wiki/Balalae_Airport",
35167,"AGGF","small_airport","Fera/Maringe Airport",-8.1075,159.576996,,"OC","SB","SB-IS","Fera Island","yes","AGGF","FRE",,,"https://en.wikipedia.org/wiki/Fera_Airport","Santa Isabel Islands"
3,"AGGH","medium_airport","Honiara International Airport",-9.4280004501343,160.05499267578,28,"OC","SB","SB-CT","Honiara","yes","AGGH","HIR",,,"http://en.wikipedia.org/wiki/Honiara_International_Airport","Henderson Field"
31885,"AGGI","small_airport","Babanakira Airport",-9.7475004196167,159.83900451660156,,"OC","SB","SB-GU","Mbambanakira","yes","AGGI","MBU",,,,"Mbambanakira Airport"
301837,"AGGJ","small_airport","Avu Avu Airport",-9.86833333333,160.410555556,25,"OC","SB","SB-GU",,"no","AGGJ","AVU",,,,
31686,"AGGK","small_airport","Ngorangora Airport",-10.449700355500001,161.897994995,54,"OC","SB","SB-MK","Kirakira","yes","AGGK","IRA",,,"http://en.wikipedia.org/wiki/Kirakira_Airport",
32275,"AGGL","small_airport","Santa Cruz/Graciosa Bay/Luova Airport",-10.72029972076416,165.7949981689453,18,"OC","SB","SB-TE","Santa Cruz/Graciosa Bay/Luova","yes","AGGL","SCZ",,,,
4,"AGGM","medium_airport","Munda Airport",-8.327969551086426,157.26300048828125,10,"OC","SB","SB-WE",,"yes","AGGM","MUA",,,"http://en.wikipedia.org/wiki/Munda_Airport",
31563,"AGGN","small_airport","Nusatupe Airport",-8.09778022766,156.863998413,13,"OC","SB","SB-WE","Gizo","yes","AGGN","GZO",,,"http://en.wikipedia.org/wiki/Nusatupe_Airport",
31932,"AGGO","small_airport","Mono Airport",-7.416940212249756,155.56500244140625,,"OC","SB","SB-WE","Stirling Island","yes","AGGO","MNY",,,"http://en.wikipedia.org/wiki/Mono_Airport",
32174,"AGGP","small_airport","Parasi Airport",-9.641670227050781,161.4250030517578,,"OC","SB","SB-ML","Parasi","no","AGGP","PRS",,,,
299315,"AGGQ","closed","Ontong Java Atoll Airstrip",-5.515,159.527777778,10,"OC","SB","SB-ML","Ontong Java Atoll","no","AGGQ","OTV",,,,"Luangiua, Lord Howe Atoll"
35171,"AGGR","small_airport","Rennell/Tingoa Airport",-11.533900260925293,160.06300354003906,,"OC","SB","SB-RB","Rennell Island","yes","AGGR","RNL",,,,
30989,"AGGS","small_airport","Sege Airport",-8.578889846801758,157.87600708007812,,"OC","SB","SB-WE","Sege","no","AGGS","EGM",,,,
308425,"AGGT","small_airport","Santa Ana Airport",-10.847994,162.454108,3,"OC","SB","SB-MK","Santa Ana Island","yes","AGGT","NNB",,,"http://en.wikipedia.org/wiki/Santa_Ana_Airport_(Solomon_Islands)",
32238,"AGGU","small_airport","Marau Airport",-9.861669540409999,160.824996948,,"OC","SB","SB-GU","Marau","yes","AGGU","RUS",,,"http://en.wikipedia.org/wiki/Marau_Airport",
